Model Number,Case Style,Subcategories,F Low (MHz),F High (MHz),Gain (dB) Typ.,NF (dB) Typ.,Power Out (dBm) @ 1dB Comp. Typ.,Out. IP3 (dBm) Typ.,Input VSWR (:1) Typ.,Output VSWR (:1) Typ.,Voltage (V),DC Current (mA),Connector Type,Option,Interface,Impedance (Ohms),
TSS-13LN+,DQ1225,Low Noise Amplifier,1,1000,22.8,1.1,24.5,39.2,1.28,1.32,5/3,142/72,-,-,SMT,50,Y
TSS-23HLN+,DQ1225,Low Noise Amplifier,30,2000,21.8,1.4,28.5,42.6,1.92,1.67,8,236,-,-,SMT,50,Y
TSS-23LN+,DQ1225,Low Noise Amplifier,30,2000,21.5,1.2,24.1,36.4,1.92,1.67,5/3,139/74,-,-,SMT,50,Y
TSS-53LNB+,DQ1225,Low Noise Amplifier,500,5000,21.7,1.4,20.6,33.9,1.46,1.33,5,82,-,-,SMT,50,Y
TSS-53LNB3+,DQ1225,Low Noise Amplifier,500,5000,18.4,1.5,14.9,25,1.63,1.26,3,42,-,-,SMT,50,N
TSY-13LNB+,MC1631-1,Low Noise Amplifier,30,1000,14.7,1.2,17.1,26.4,1.5,1.3,2.7,7.7,-,-,SMT,50,Y
TSY-172LNB+,MC1631-1,Low Noise Amplifier,30,1700,13.1,1.4,17.5,24.7,1.9,1.5,2.7,7.7,-,-,SMT,50,Y
TSY-173LN+,MC1630-1,Low Noise Amplifier,13500,17000,16.5,1.1,8.7,24.2,1.28,1.19,3,13.2,-,-,SMT,50,Y
VNA-28B+,DL1020,Low Noise Amplifier,500,2500,23,2.9,11.4,22.7,1.31,1.83,2.8/5.0,32/34,-,-,SMT,50,Y
YSF-272+,DL1636,Low Noise Amplifier,2300,2700,19,2.5,20,35,1.4,1.3,5,118,-,-,SMT,50,Y
YSF-322+,DL1636,Low Noise Amplifier,900,3200,19,2.5,20,35,1.4,1.3,5,118,-,-,SMT,50,Y
YSIF-421+,DG1677-2,Low Noise Amplifier,220,380,37.2,1.6,22.2,38.3,1.78,1.08,5,189,-,-,SMT,50,N
